Layer,Sigma Value,Average Accuracy
conv1,0.0,63.92
conv1,0.0125,63.6
conv1,0.025,61.99
conv1,0.037500000000000006,36.01
conv1,0.05,32.43
conv2,0.0,63.92
conv2,0.0125,62.52
conv2,0.025,47.38
conv2,0.037500000000000006,1.0
conv2,0.05,46.54
conv3,0.0,63.92
conv3,0.0125,62.39
conv3,0.025,1.52
conv3,0.037500000000000006,2.77
conv3,0.05,2.05
conv4,0.0,63.92
conv4,0.0125,62.22
conv4,0.025,63.64
conv4,0.037500000000000006,24.28
conv4,0.05,62.18
conv5,0.0,63.92
conv5,0.0125,61.53
conv5,0.025,9.28
conv5,0.037500000000000006,1.0
conv5,0.05,1.0
conv6,0.0,63.92
conv6,0.0125,60.77
conv6,0.025,40.91
conv6,0.037500000000000006,6.83
conv6,0.05,14.86
conv7,0.0,63.92
conv7,0.0125,62.03
conv7,0.025,31.81
conv7,0.037500000000000006,4.46
conv7,0.05,1.0
conv8,0.0,63.92
conv8,0.0125,59.91
conv8,0.025,57.55
conv8,0.037500000000000006,63.61
conv8,0.05,46.4
fc1,0.0,63.92
fc1,0.0125,60.91
fc1,0.025,58.78
fc1,0.037500000000000006,59.13
fc1,0.05,44.08
fc2,0.0,63.92
fc2,0.0125,63.92
fc2,0.025,63.92
fc2,0.037500000000000006,63.92
fc2,0.05,63.92
