BER Value,Average Accuracy
1e-05,64.73533333333334
0.0007235714285714287,63.65733333333333
0.0014371428571428573,62.85733333333334
0.0021507142857142857,62.269333333333336
0.0028642857142857146,61.42466666666666
0.0035778571428571435,60.56133333333334
0.004291428571428571,59.69533333333334
0.005005,58.33
0.005718571428571429,57.605333333333334
0.006432142857142858,56.47266666666667
0.0071457142857142865,56.11466666666666
0.007859285714285714,54.11933333333334
0.008572857142857142,53.882
0.009286428571428572,52.27599999999999
0.01,51.19666666666667
