Sigma Value,Average Accuracy
0.0,64.41999999999999
0.0071428571428571435,64.37
0.014285714285714287,64.36333333333333
0.02142857142857143,64.33666666666666
0.028571428571428574,64.36866666666667
0.03571428571428572,64.30333333333334
0.04285714285714286,64.348
0.05,64.32533333333335
0.05714285714285715,64.23200000000001
0.0642857142857143,64.18466666666667
0.07142857142857144,64.07
0.07857142857142858,64.05466666666665
0.08571428571428572,63.92600000000001
0.09285714285714286,63.653333333333336
0.1,63.763333333333335
